OBJECTID,PROJECTID,PROJECTNAME,WORKNUMBER,PRIMARYPROGRAMNAME,LOCATIONTYPE,X,Y,SMP_TREETRENCH,SMP_PLANTER,SMP_BUMPOUT,SMP_RAINGARDEN,SMP_BASIN,SMP_INFILTRATIONSTORAGETRENCH,SMP_PERVIOUSPAVING,SMP_SWALE,SMP_WETLAND,SMP_GREENROOF,SMP_OTHER,SMP_STORMWATERTREE,SMP_DRAINAGEWELL,SMP_GREENGUTTER,SMP_BLUEROOF,SMP_DEPAVING,SMP_INFILTRATIONCOLUMNS,DESIGNSTARTDATE,INPCDATE,CONSTRUCTIONCOMPLETEDATE,STATUS,SMPDATA_PHASE,TYPE,FINAL_LINK_COPY
68,1461,Paschalville Library Branch Rain Gardens,50281,"Facilities,Streets",Parcel,2672173.54306702,223876.76450297,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
69,242,Morris Park,50110,Open Space,Point,2667471.326,243422.454,0,0,0,3,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
70,1438,Huntingdon Emerald Package,50264,"Streets,Vacant Land",Parcel,2703832.09759616,249060.18256944,0,0,0,2,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-90% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
71,1439,West Vine Street,50265,"Open Space,Streets",Point,2668811.71705803,241104.42365816,9,0,3,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
72,1440,Feltonville Recreation Center Outfield,50266,"Open Space,Streets",Parcel,2704739.84643656,261814.89885752,2,0,2,0,0,4,0,0,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
73,1444,Holmesburg Rec Center LAD,50269,"Open Space,Streets",Parcel,2730637.72686637,267638.66705799,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-30% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
74,1445,Glenwood Green Acres,50270,"Streets,Vacant Land",Point,2693245.95027903,251027.38385378,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-30% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
75,1467,Olney Rec Center,50283,"Open Space,Streets",Parcel,2705629.7146187,269348.18025535,1,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-30% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
76,1499,Small Sites & ROW Connections,50256,"Streets,Vacant Land",Parcel,2701372.9004555,254618.85867608,,,,,,,,,,,,,,,,,,,,,Construction-Construction Started,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
77,1509,Nichols Park and Green Streets,50307,"Open Space,Streets",Parcel,2674892.14178135,239614.66813654,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-Design Started,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
